id,title,year,web_url,venue,track,abstract,has_claim,has_claim_e,has_claim_w,introduces_dataset,introduces_dataset_e,introduces_dataset_w,claim_related_to_e,claim_related_to_w,has_typ_justification_e,has_typ_justification_w,justification_e,justification_w,iso_codes_e,iso_codes_w,iso_codes,isos_wals
2020.conll-1.20,Cross-lingual Embeddings Reveal Universal and Lineage-Specific Patterns in Grammatical Gender Assignment,2020-01-01,https://aclanthology.org/2020.conll-1.20/,conll,,"Grammatical gender is assigned to nouns differently in different languages. Are all factors that influence gender assignment idiosyncratic to languages or are there any that are universal? Using cross-lingual aligned word embeddings, we perform two experiments to address these questions about language typology and human cognition. In both experiments, we predict the gender of nouns in language X using a classifier trained on the nouns of language Y, and take the classifier’s accuracy as a measure of transferability of gender systems. First, we show that for 22 Indo-European languages the transferability decreases as the phylogenetic distance increases. This correlation supports the claim that some gender assignment factors are idiosyncratic, and as the languages diverge, the proportion of shared inherited idiosyncrasies diminishes. Second, we show that when the classifier is trained on two Afro-Asiatic languages and tested on the same 22 Indo-European languages (or vice versa), its performance is still significantly above the chance baseline, thus showing that universal factors exist and, moreover, can be captured by word embeddings. When the classifier is tested across families and on inanimate nouns only, the performance is still above baseline, indicating that the universal factors are not limited to biological sex.",0,0,0,,,,,,,,,,,,,
2003.mtsummit-systems.4,SYSTRAN Review Manager,2003-01-01,https://aclanthology.org/2003.mtsummit-systems.4/,mtsummit,,"The SYSTRAN Review Manager (SRM) is one of the components that comprise the SYSTRAN Linguistics Platform (SLP), a comprehensive enterprise solution for managing MT customization and localization projects. The SRM is a productivity tool used for the review, quality assessment and maintenance of linguistic resources combined with a SYSTRAN solution. The SRM is used in-house by SYSTRAN’s development team and is also licensed to corporate customers as it addresses leading linguistic challenges, such as terminology and homographs, which makes it a key component of the QA process. Extremely flexible, the SRM adapts to localization and MT customization projects from small to large-scale. Its Web-based interface and multi-user architecture enable a centralized and efficient work environment for local and geographically disbursed individual users and teams. Users segment a given corpus to fluidly review and evaluate translations, as well as identify the typology of errors. Corpus metrics, terminology extraction and detailed reporting capabilities facilitate prioritizing tasks, resulting in immediate focus on those issues that significantly impact MT quality. Data and statistics are tracked throughout the customization process and are always available for regression tests and overall project management. This environment is highly conducive to increased productivity and efficient QA in the MT customization effort.",0,0,0,,,,,,,,,,,,,
2011.jeptalnrecital-recital.1,Analyse de l’ambiguïté des requêtes utilisateurs par catégorisation thématique,2011-01-01,https://aclanthology.org/2011.jeptalnrecital-recital.1/,jeptalnrecital,,"Dans cet article, nous cherchons à identifier la nature de l’ambiguïté des requêtes utilisateurs issues d’un moteur de recherche dédié à l’actualité, 2424actu.fr, en utilisant une tâche de catégorisation. Dans un premier temps, nous verrons les différentes formes de l’ambiguïté des requêtes déjà décrites dans les travaux de TAL. Nous confrontons la vision lexicographique de l’ambiguïté à celle décrite par les techniques de classification appliquées à la recherche d’information. Dans un deuxième temps, nous appliquons une méthode de catégorisation thématique afin d’explorer l’ambiguïté des requêtes, celle-ci nous permet de conduire une analyse sémantique de ces requêtes, en intégrant la dimension temporelle propre au contexte des news. Nous proposons une typologie des phénomènes d’ambiguïté basée sur notre analyse sémantique. Enfin, nous comparons l’exploration par catégorisation à une ressource comme Wikipédia, montrant concrètement les divergences des deux approches.",0,0,0,,,,,,,,,,,,,
2020.sigmorphon-1.1,SIGMORPHON 2020 Shared Task 0: Typologically Diverse Morphological Inflection,2020-01-01,https://aclanthology.org/2020.sigmorphon-1.1/,sigmorphon,,"A broad goal in natural language processing (NLP) is to develop a system that has the capacity to process any natural language. Most systems, however, are developed using data from just one language such as English. The SIGMORPHON 2020 shared task on morphological reinflection aims to investigate systems’ ability to generalize across typologically distinct languages, many of which are low resource. Systems were developed using data from 45 languages and just 5 language families, fine-tuned with data from an additional 45 languages and 10 language families (13 in total), and evaluated on all 90 languages. A total of 22 systems (19 neural) from 10 teams were submitted to the task. All four winning systems were neural (two monolingual transformers and two massively multilingual RNN-based models with gated attention). Most teams demonstrate utility of data hallucination and augmentation, ensembles, and multilingual training for low-resource languages. Non-neural learners and manually designed grammars showed competitive and even superior performance on some languages (such as Ingrian, Tajik, Tagalog, Zarma, Lingala), especially with very limited data. Some language families (Afro-Asiatic, Niger-Congo, Turkic) were relatively easy for most systems and achieved over 90% mean accuracy while others were more challenging.",1,1,1,1,1,0,b,d,1,1,i,f,"aka,ang,ast,aze,azg,bak,ben,bod,cat,cev,cly,cpa,cre,crh,ctp,czn,dak,dan,deu,dje,eng,est,evn,fas,fil,fin,frm,frr,fur,gaa,glg,gmh,gml,gsw,hil,hin,isl,izh,kan,kaz,kir,kjh,kon,kpv,krl,lin,liv,lld,lud,lug,mdf,mhr,mlg,mlt,mri,mwf,myv,nld,nno,nob,nya,olo,ood,orm,ote,otm,pei,pus,san,sme,sna,sot,swa,swe,syc,tel,tgk,tuk,udm,uig,urd,uzb,vec,vep,vot,vro,xno,xty,zpv,zul","aka,ang,azg,ceb,chm,cpa,cta,cta,ctp,dan,deu,eng,est,fil,fin,frr,gaa,gmh,hil,isl,izh,kon,krl,lin,liv,lug,mdf,mlg,mri,myv,nld,nob,nya,ote,otm,pei,sme,sot,swa,swe,vep,vot,xty,zpv,zul","aka,ang,ast,aze,azg,bak,ben,bod,cat,ceb,cly,cpa,cre,crh,ctp,czn,dak,dan,deu,dje,eng,est,evn,fas,fil,fin,frm,frr,fur,gaa,glg,gmh,gml,gsw,hil,hin,isl,izh,kan,kaz,kir,kjh,kon,kpv,krl,lin,liv,lld,lud,lug,mdf,mhr,mlg,mlt,mri,mwf,myv,nld,nno,nob,nya,olo,ood,orm,ote,otm,pei,pus,san,sme,sna,sot,swa,swe,syc,tel,tgk,tuk,udm,uig,urd,uzb,vec,vep,vot,vro,xno,xty,zpv,zul","aka,ang,ast,azj,azg,bak,ben,bod,cat,ceb,cly,cpa,cre,crh,ctp,czn,dak,dan,deu,dje,eng,ekk,evn,pes,tgl,fin,frm,frr,fur,gaa,glg,gmh,gml,gsw,hil,hin,isl,izh,kan,kaz,kir,kjh,kng,kpv,krl,lin,liv,lld,lud,lug,mdf,mhr,zsm,mlt,mri,mwf,myv,nld,nno,nor,nya,olo,ood,orm,ote,otm,pei,pst,san,sme,sna,sot,swh,swe,syc,tel,tgk,tuk,udm,uig,urd,uzb,vec,vep,vot,vro,xno,xty,zpv,zul"
2020.sigmorphon-1.6,The CMU-LTI submission to the SIGMORPHON 2020 Shared Task 0: Language-Specific Cross-Lingual Transfer,2020-01-01,https://aclanthology.org/2020.sigmorphon-1.6/,sigmorphon,,"This paper describes the CMU-LTI submission to the SIGMORPHON 2020 Shared Task 0 on typologically diverse morphological inflection. The (unrestricted) submission uses the cross-lingual approach of our last year’s winning submission (Anastasopoulos and Neubig, 2019), but adapted to use specific transfer languages for each test language. Our system, with fixed non-tuned hyperparameters, achieved a macro-averaged accuracy of 80.65 ranking 20th among 31 systems, but it was still tied for best system in 25 of the 90 total languages.",0,0,0,,,,,,,,,,,,,
2020.sigmorphon-1.8,The NYU-CUBoulder Systems for SIGMORPHON 2020 Task 0 and Task 2,2020-01-01,https://aclanthology.org/2020.sigmorphon-1.8/,sigmorphon,,"We describe the NYU-CUBoulder systems for the SIGMORPHON 2020 Task 0 on typologically diverse morphological inflection and Task 2 on unsupervised morphological paradigm completion. The former consists of generating morphological inflections from a lemma and a set of morphosyntactic features describing the target form. The latter requires generating entire paradigms for a set of given lemmas from raw text alone. We model morphological inflection as a sequence-to-sequence problem, where the input is the sequence of the lemma’s characters with morphological tags, and the output is the sequence of the inflected form’s characters. First, we apply a transformer model to the task. Second, as inflected forms share most characters with the lemma, we further propose a pointer-generator transformer model to allow easy copying of input characters.",0,0,0,,,,,,,,,,,,,
2020.sigmorphon-1.14,Exploring Neural Architectures And Techniques For Typologically Diverse Morphological Inflection,2020-01-01,https://aclanthology.org/2020.sigmorphon-1.14/,sigmorphon,,"Morphological inflection in low resource languages is critical to augment existing corpora in Low Resource Languages, which can help develop several applications in these languages with very good social impact. We describe our attention-based encoder-decoder approach that we implement using LSTMs and Transformers as the base units. We also describe the ancillary techniques that we experimented with, such as hallucination, language vector injection, sparsemax loss and adversarial language network alongside our approach to select the related language(s) for training. We present the results we generated on the constrained as well as unconstrained SIGMORPHON 2020 dataset (CITATION). One of the primary goals of our paper was to study the contribution varied components described above towards the performance of our system and perform an analysis on the same.",0,1,0,,,,p,,,,i,,"gsw,kan,liv,lug,sot,syc,xty,zpv,zul",,,
2020.sigmorphon-1.15,University of Illinois Submission to the SIGMORPHON 2020 Shared Task 0: Typologically Diverse Morphological Inflection,2020-01-01,https://aclanthology.org/2020.sigmorphon-1.15/,sigmorphon,,"The objective of this shared task is to produce an inflected form of a word, given its lemma and a set of tags describing the attributes of the desired form. In this paper, we describe a transformer-based model that uses a bidirectional decoder to perform this task, and evaluate its performance on the 90 languages and 18 language families used in this task.",0,0,0,,,,,,,,,,,,,
2020.sigmorphon-1.20,The UniMelb Submission to the SIGMORPHON 2020 Shared Task 0: Typologically Diverse Morphological Inflection,2020-01-01,https://aclanthology.org/2020.sigmorphon-1.20/,sigmorphon,,"The paper describes the University of Melbourne’s submission to the SIGMORPHON 2020 Shared Task 0: Typologically Diverse Morphological Inflection. Our team submitted three systems in total, two neural and one non-neural. Our analysis of systems’ performance shows positive effects of newly introduced data hallucination technique that we employed in one of neural systems, especially in low-resource scenarios. A non-neural system based on observed inflection patterns shows optimistic results even in its simple implementation (>75% accuracy for 50% of languages). With possible improvement within the same modeling principle, accuracy might grow to values above 90%.",0,0,0,,,,,,,,,,,,,
2020.sigmorphon-1.22,Transliteration for Cross-Lingual Morphological Inflection,2020-01-01,https://aclanthology.org/2020.sigmorphon-1.22/,sigmorphon,,"Cross-lingual transfer between typologically related languages has been proven successful for the task of morphological inflection. However, if the languages do not share the same script, current methods yield more modest improvements. We explore the use of transliteration between related languages, as well as grapheme-to-phoneme conversion, as data preprocessing methods in order to alleviate this issue. We experimented with several diverse language pairs, finding that in most cases transliterating the transfer language data into the target one leads to accuracy improvements, even up to 9 percentage points. Converting both languages into a shared space like the International Phonetic Alphabet or the Latin alphabet is also beneficial, leading to improvements of up to 16 percentage points.",0,0,0,,,,,,,,,,,,,
P17-1137,Learning to Create and Reuse Words in Open-Vocabulary Neural Language Modeling,2017-01-01,https://aclanthology.org/P17-1137/,acl,,"Fixed-vocabulary language models fail to account for one of the most characteristic statistical facts of natural language: the frequent creation and reuse of new word types. Although character-level language models offer a partial solution in that they can create word types not attested in the training corpus, they do not capture the “bursty” distribution of such words. In this paper, we augment a hierarchical LSTM language model that generates sequences of word tokens character by character with a caching mechanism that learns to reuse previously generated words. To validate our model we construct a new open-vocabulary language modeling corpus (the Multilingual Wikipedia Corpus; MWC) from comparable Wikipedia articles in 7 typologically diverse languages and demonstrate the effectiveness of our model across this range of languages.",1,1,1,0,0,0,p,p,0,0,l,n,"ces,deu,eng,fin,fra,rus,spa","ces,deu,eng,fin,fra,rus,spa","ces,deu,eng,fin,fra,rus,spa","ces,deu,eng,fin,fra,rus,spa"
2021.sigtyp-1.6,FrameNet and Typology,2021-01-01,https://aclanthology.org/2021.sigtyp-1.6/,sigtyp,,"FrameNet and the Multilingual FrameNet project have produced multilingual semantic annotations of parallel texts that yield extremely fine-grained typological insights. Moreover, frame semantic annotation of a wide cross-section of languages would provide information on the limits of Frame Semantics (Fillmore 1982, Fillmore1985). Multilingual semantic annotation offers critical input for research on linguistic diversity and recurrent patterns in computational typology. Drawing on results from FrameNet annotation of parallel texts, this paper proposes frame semantic annotation as a new component to complement the state of the art in computational semantic typology.",0,0,1,0,,0,,b,,1,,i,,"deu,eng,fra,jpn,por,spa,swe,zho",,
2022.mia-1.11,MIA 2022 Shared Task: Evaluating Cross-lingual Open-Retrieval Question Answering for 16 Diverse Languages,2022-01-01,https://aclanthology.org/2022.mia-1.11/,mia,,"We present the results of the Workshop on Multilingual Information Access (MIA) 2022 Shared Task, evaluating cross-lingual open-retrieval question answering (QA) systems in 16 typologically diverse languages. In this task, we adapted two large-scale cross-lingual open-retrieval QA datasets in 14 typologically diverse languages, and newly annotated open-retrieval QA data in 2 underrepresented languages: Tagalog and Tamil. Four teams submitted their systems. The best constrained system uses entity-aware contextualized representations for document retrieval, thereby achieving an average F1 score of 31.6, which is 4.1 F1 absolute higher than the challenging baseline. The best system obtains particularly significant improvements in Tamil (20.8 F1), whereas most of the other systems yield nearly zero scores. The best unconstrained system achieves 32.2 F1, outperforming our baseline by 4.5 points.",1,1,1,1,1,0,b,b,0,0,i,n,"ara,ben,eng,fil,fin,jpn,khm,kor,mal,rus,spa,swe,tam,tel,zho","ara,ben,eng,fil,fin,jpn,khm,kor,msa,rus,spa,swe,tam,tel,zho","ara,ben,eng,fil,fin,jpn,khm,kor,mal,rus,spa,swe,tam,tel,zho","arb,ben,eng,tgl,fin,jpn,khm,kor,mal,rus,spa,swe,tam,tel,cmn"
2022.digitam-1.6,Towards a Unified ASR System for the Armenian Standards,2022-01-01,https://aclanthology.org/2022.digitam-1.6/,digitam,,"Armenian is a traditionally under-resourced language, which has seen a recent uptick in interest in the development of its tools and presence in the digital domain. Some of this recent interest has centred around the development of Automatic Speech Recognition (ASR) technologies. However, the language boasts two standard variants which diverge on multiple typological and structural levels. In this work, we examine some of the available bodies of data for ASR construction, present the challenges in the processing of these data and propose a methodology going forward.",0,0,0,,,,,,,,,,,,,
2020.dmr-1.4,Cross-lingual annotation: a road map for low- and no-resource languages,2020-01-01,https://aclanthology.org/2020.dmr-1.4/,dmr,,"This paper presents a “road map” for the annotation of semantic categories in typologically diverse languages, with potentially few linguistic resources, and often no existing computational resources. Past semantic annotation efforts have focused largely on high-resource languages, or relatively low-resource languages with a large number of native speakers. However, there are certain typological traits, namely the synthesis of multiple concepts into a single word, that are more common in languages with a smaller speech community. For example, what is expressed as a sentence in a more analytic language like English, may be expressed as a single word in a more synthetic language like Arapaho. This paper proposes solutions for annotating analytic and synthetic languages in a comparable way based on existing typological research, and introduces a road map for the annotation of languages with a dearth of resources.",0,0,1,,,,,d,,,,i,,,,
2021.naacl-main.283,X-METRA-ADA: Cross-lingual Meta-Transfer learning Adaptation to Natural Language Understanding and Question Answering,2021-01-01,https://aclanthology.org/2021.naacl-main.283/,naacl,,"Multilingual models, such as M-BERT and XLM-R, have gained increasing popularity, due to their zero-shot cross-lingual transfer learning capabilities. However, their generalization ability is still inconsistent for typologically diverse languages and across different benchmarks. Recently, meta-learning has garnered attention as a promising technique for enhancing transfer learning under low-resource scenarios: particularly for cross-lingual transfer in Natural Language Understanding (NLU). In this work, we propose X-METRA-ADA, a cross-lingual MEta-TRAnsfer learning ADAptation approach for NLU. Our approach adapts MAML, an optimization-based meta-learning approach, to learn to adapt to new languages. We extensively evaluate our framework on two challenging cross-lingual NLU tasks: multilingual task-oriented dialog and typologically diverse question answering. We show that our approach outperforms naive fine-tuning, reaching competitive performance on both tasks for most languages. Our analysis reveals that X-METRA-ADA can leverage limited data for faster adaptation.",1,1,1,0,0,0,p,b,0,1,i,l,"ara,ben,fin,ind,rus,spa,swa,tel,tha","ara,ben,eng,fin,ind,jpn,kor,rus,spa,swa,tel,tha","ara,ben,eng,fin,ind,jpn,kor,rus,spa,swa,tel,tha","arb,ben,eng,fin,ind,jpn,kor,rus,spa,swh,tel,tha"
2021.naacl-main.350,How (Non-)Optimal is the Lexicon?,2021-01-01,https://aclanthology.org/2021.naacl-main.350/,naacl,,"The mapping of lexical meanings to wordforms is a major feature of natural languages. While usage pressures might assign short words to frequent meanings (Zipf’s law of abbreviation), the need for a productive and open-ended vocabulary, local constraints on sequences of symbols, and various other factors all shape the lexicons of the world’s languages. Despite their importance in shaping lexical structure, the relative contributions of these factors have not been fully quantified. Taking a coding-theoretic view of the lexicon and making use of a novel generative statistical model, we define upper bounds for the compressibility of the lexicon under various constraints. Examining corpora from 7 typologically diverse languages, we use those upper bounds to quantify the lexicon’s optimality and to explore the relative costs of major constraints on natural codes. We find that (compositional) morphology and graphotactics can sufficiently account for most of the complexity of natural codes—as measured by code length.",1,1,1,0,0,0,p,p,1,1,l,f,"eng,fin,heb,ind,tam,tur,yor","eng,fin,heb,ind,tam,tur,yor","eng,fin,heb,ind,tam,tur,yor","eng,fin,heb,ind,tam,tur,yor"
2020.repl4nlp-1.7,Improving Bilingual Lexicon Induction with Unsupervised Post-Processing of Monolingual Word Vector Spaces,2020-01-01,https://aclanthology.org/2020.repl4nlp-1.7/,repl4nlp,,"Work on projection-based induction of cross-lingual word embedding spaces (CLWEs) predominantly focuses on the improvement of the projection (i.e., mapping) mechanisms. In this work, in contrast, we show that a simple method for post-processing monolingual embedding spaces facilitates learning of the cross-lingual alignment and, in turn, substantially improves bilingual lexicon induction (BLI). The post-processing method we examine is grounded in the generalisation of first- and second-order monolingual similarities to the nth-order similarity. By post-processing monolingual spaces before the cross-lingual alignment, the method can be coupled with any projection-based method for inducing CLWE spaces. We demonstrate the effectiveness of this simple monolingual post-processing across a set of 15 typologically diverse languages (i.e., 15*14 BLI setups), and in combination with two different projection methods.",1,1,1,0,0,0,p,p,0,0,n,n,"bul,cat,epo,est,eus,fin,heb,hun,ind,kat,kor,lit,nob,tha,tur","bul,cat,epo,est,eus,fin,heb,hun,ind,kat,kor,lit,nor,tha,tur","bul,cat,epo,est,eus,fin,heb,hun,ind,kat,kor,lit,nor,tha,tur","bul,cat,epo,ekk,eus,fin,heb,hun,ind,kat,kor,lit,nor,tha,tur"
C18-1245,Emotion Representation Mapping for Automatic Lexicon Construction (Mostly) Performs on Human Level,2018-01-01,https://aclanthology.org/C18-1245/,coling,,"Emotion Representation Mapping (ERM) has the goal to convert existing emotion ratings from one representation format into another one, e.g., mapping Valence-Arousal-Dominance annotations for words or sentences into Ekman’s Basic Emotions and vice versa. ERM can thus not only be considered as an alternative to Word Emotion Induction (WEI) techniques for automatic emotion lexicon construction but may also help mitigate problems that come from the proliferation of emotion representation formats in recent years. We propose a new neural network approach to ERM that not only outperforms the previous state-of-the-art. Equally important, we present a refined evaluation methodology and gather strong evidence that our model yields results which are (almost) as reliable as human annotations, even in cross-lingual settings. Based on these results we generate new emotion ratings for 13 typologically diverse languages and claim that they have near-gold quality, at least.",1,1,1,0,1,0,d,b,0,0,n,n,"deu,ell,eng,fin,fra,ind,ita,nld,pol,por,spa,swe,zho","deu,ell,eng,fin,fra,ind,ita,nld,pol,por,spa,swe,zho","deu,ell,eng,fin,fra,ind,ita,nld,pol,por,spa,swe,zho","deu,ell,eng,fin,fra,ind,ita,nld,pol,por,spa,swe,cmn"
C18-1249,Clausal Modifiers in the Grammar Matrix,2018-01-01,https://aclanthology.org/C18-1249/,coling,,"We extend the coverage of an existing grammar customization system to clausal modifiers, also referred to as adverbial clauses. We present an analysis, taking a typologically-driven approach to account for this phenomenon across the world’s languages, which we implement in the Grammar Matrix customization system (Bender et al., 2002, 2010). Testing our analysis on testsuites from five genetically and geographically diverse languages that were not considered in development, we achieve 88.4% coverage and 1.5% overgeneration.",1,1,1,0,0,0,b,p,1,0,i,n,"cas,eus,lvk,mhi,ura","deu,dru,wmb,zho","cas,eus,lvk,mhi,ura","cas,eus,lvk,mhi,ura"
2022.emnlp-main.290,On the Calibration of Massively Multilingual Language Models,2022-01-01,https://aclanthology.org/2022.emnlp-main.290/,emnlp,,"Massively Multilingual Language Models (MMLMs) have recently gained popularity due to their surprising effectiveness in cross-lingual transfer. While there has been much work in evaluating these models for their performance on a variety of tasks and languages, little attention has been paid on how well calibrated these models are with respect to the confidence in their predictions. We first investigate the calibration of MMLMs in the zero-shot setting and observe a clear case of miscalibration in low-resource languages or those which are typologically diverse from English. Next, we empirically show that calibration methods like temperature scaling and label smoothing do reasonably well in improving calibration in the zero-shot scenario. We also find that few-shot examples in the language can further help reduce calibration errors, often substantially. Overall, our work contributes towards building more reliable multilingual models by highlighting the issue of their miscalibration, understanding what language and model-specific factors influence it, and pointing out the strategies to improve the same.",0,0,1,,,,,p,,,,n,,"ara,bul,deu,ell,eng,fra,hin,ind,ita,jpn,kor,rus,spa,swa,tam,tha,tur,urd,vie,zho",,
2022.emnlp-main.492,"Eeny, meeny, miny, moe. How to choose data for morphological inflection.",2022-01-01,https://aclanthology.org/2022.emnlp-main.492/,emnlp,,"Data scarcity is a widespread problem for numerous natural language processing (NLP) tasks within low-resource languages. Within morphology, the labour-intensive task of tagging/glossing data is a serious bottleneck for both NLP and fieldwork. Active learning (AL) aims to reduce the cost of data annotation by selecting data that is most informative for the model. In this paper, we explore four sampling strategies for the task of morphological inflection using a Transformer model: a pair of oracle experiments where data is chosen based on correct/incorrect predictions by the model, model confidence, entropy, and random selection. We investigate the robustness of each sampling strategy across 30 typologically diverse languages, as well as a 10-cycle iteration using Natügu as a case study. Our results show a clear benefit to selecting data based on model confidence. Unsurprisingly, the oracle experiment, which is presented as a proxy for linguist/language informer feedback, shows the most improvement. This is followed closely by low-confidence and high-entropy forms. We also show that despite the conventional wisdom of larger data sets yielding better accuracy, introducing more instances of high-confidence, low-entropy, or forms that the model can already inflect correctly, can reduce model performance.",1,1,1,0,0,0,p,p,1,0,l,i,"ady,amh,ara,arp,aym,cni,cpa,cre,ddo,deu,eus,evn,fas,fin,gle,guj,hai,ind,khk,kor,mni,nav,ntu,que,rus,see,spa,swa,tur,zul","ady,amh,ara,arp,aym,cni,cpa,cre,ddo,deu,eus,evn,fas,fin,gle,guj,hai,ind,khk,kor,mni,nav,ntu,que,rus,see,spa,swa,tur,zul","ady,amh,ara,arp,aym,cni,cpa,cre,ddo,deu,eus,evn,fas,fin,gle,guj,hai,ind,khk,kor,mni,nav,ntu,que,rus,see,spa,swa,tur,zul","ady,amh,arb,arp,ayr,cpx,cpa,cre,ddo,deu,eus,evn,pes,fin,gle,guj,hai,ind,khk,kor,mni,nav,ntu,que,rus,see,spa,swh,tur,zul"
2022.emnlp-main.503,Subword Evenness (SuE) as a Predictor of Cross-lingual Transfer to Low-resource Languages,2022-01-01,https://aclanthology.org/2022.emnlp-main.503/,emnlp,,"Pre-trained multilingual models, such as mBERT, XLM-R and mT5, are used to improve the performance on various tasks in low-resource languages via cross-lingual transfer. In this framework, English is usually seen as the most natural choice for a transfer language (for fine-tuning or continued training of a multilingual pre-trained model), but it has been revealed recently that this is often not the best choice. The success of cross-lingual transfer seems to depend on some properties of languages, which are currently hard to explain. Successful transfer often happens between unrelated languages and it often cannot be explained by data-dependent factors. In this study, we show that languages written in non-Latin and non-alphabetic scripts (mostly Asian languages) are the best choices for improving performance on the task of Masked Language Modelling (MLM) in a diverse set of 30 low-resource languages and that the success of the transfer is well predicted by our novel measure of Subword Evenness (SuE). Transferring language models over the languages that score low on our measure results in the lowest average perplexity over target low-resource languages. Our correlation coefficients obtained with three different pre-trained multilingual models are consistently higher than all the other predictors, including text-based measures (type-token ratio, entropy) and linguistically motivated choice (genealogical and typological proximity).",0,1,0,,,,p,,,,i,,"aey,amp,ape,apu,ara,arn,bsn,cha,dgz,fij,grn,gug,hae,hau,jac,kat,khk,kjy,las,mig,mlg,mya,naq,qvi,sag,swa,wic,xsu,yad,yaq,yor",,,
2022.emnlp-main.513,Discovering Language-neutral Sub-networks in Multilingual Language Models,2022-01-01,https://aclanthology.org/2022.emnlp-main.513/,emnlp,,"Multilingual pre-trained language models transfer remarkably well on cross-lingual downstream tasks. However, the extent to which they learn language-neutral representations (i.e., shared representations that encode similar phenomena across languages), and the effect of such representations on cross-lingual transfer performance, remain open questions. In this work, we conceptualize language neutrality of multilingual models as a function of the overlap between language-encoding sub-networks of these models. We employ the lottery ticket hypothesis to discover sub-networks that are individually optimized for various languages and tasks. Our evaluation across three distinct tasks and eleven typologically-diverse languages demonstrates that sub-networks for different languages are topologically similar (i.e., language-neutral), making them effective initializations for cross-lingual transfer with limited performance degradation.",1,1,1,0,0,0,p,p,0,1,i,f,"ara,deu,eng,fas,fra,hin,rus,spa,swa,urd,zho","ara,deu,eng,fas,fra,hin,rus,spa,swa,urd,zho","ara,deu,eng,fas,fra,hin,rus,spa,swa,urd,zho","arb,deu,eng,pes,fra,hin,rus,spa,swh,urd,cmn"
2022.emnlp-main.532,DivEMT: Neural Machine Translation Post-Editing Effort Across Typologically Diverse Languages,2022-01-01,https://aclanthology.org/2022.emnlp-main.532/,emnlp,,"We introduce DivEMT, the first publicly available post-editing study of Neural Machine Translation (NMT) over a typologically diverse set of target languages. Using a strictly controlled setup, 18 professional translators were instructed to translate or post-edit the same set of English documents into Arabic, Dutch, Italian, Turkish, Ukrainian, and Vietnamese. During the process, their edits, keystrokes, editing times and pauses were recorded, enabling an in-depth, cross-lingual evaluation of NMT quality and post-editing effectiveness. Using this new dataset, we assess the impact of two state-of-the-art NMT systems, Google Translate and the multilingual mBART-50 model, on translation productivity. We find that post-editing is consistently faster than translation from scratch. However, the magnitude of productivity gains varies widely across systems and languages, highlighting major disparities in post-editing effectiveness for languages at different degrees of typological relatedness to English, even when controlling for system architecture and training data size. We publicly release the complete dataset including all collected behavioral data, to foster new research on the translation capabilities of NMT systems for typologically diverse languages.",1,1,1,1,1,1,b,b,1,1,i,l,"ara,ita,nld,tur,ukr,vie","ara,ita,nld,tur,ukr,vie","ara,ita,nld,tur,ukr,vie","arb,ita,nld,tur,ukr,vie"
2022.emnlp-main.552,Cross-Linguistic Syntactic Difference in Multilingual BERT: How Good is It and How Does It Affect Transfer?,2022-01-01,https://aclanthology.org/2022.emnlp-main.552/,emnlp,,"Multilingual BERT (mBERT) has demonstrated considerable cross-lingual syntactic ability, whereby it enables effective zero-shot cross-lingual transfer of syntactic knowledge. The transfer is more successful between some languages, but it is not well understood what leads to this variation and whether it fairly reflects difference between languages. In this work, we investigate the distributions of grammatical relations induced from mBERT in the context of 24 typologically different languages. We demonstrate that the distance between the distributions of different languages is highly consistent with the syntactic difference in terms of linguistic formalisms. Such difference learnt via self-supervision plays a crucial role in the zero-shot transfer performance and can be predicted by variation in morphosyntactic properties between languages. These results suggest that mBERT properly encodes languages in a way consistent with linguistic diversity and provide insights into the mechanism of cross-lingual transfer.",1,1,1,0,0,0,p,p,0,1,f,f,"ara,bul,deu,ell,eng,est,fas,fin,fra,heb,hin,ita,jpn,kor,lat,nld,pol,por,ron,rus,spa,tur,vie,zho","ara,bul,deu,ell,eng,est,fas,fin,fra,heb,hin,ita,jpn,kor,lav,nld,pol,por,ron,rus,spa,tur,vie,zho","ara,bul,deu,ell,eng,est,fas,fin,fra,heb,hin,ita,jpn,kor,lav,nld,pol,por,ron,rus,spa,tur,vie,zho","arb,bul,deu,ell,eng,ekk,pes,fin,fra,heb,hin,ita,jpn,kor,lav,nld,pol,por,ron,rus,spa,tur,vie,cmn"
2022.emnlp-main.607,On Parsing as Tagging,2022-01-01,https://aclanthology.org/2022.emnlp-main.607/,emnlp,,"There are many proposals to reduce constituency parsing to tagging. To figure out what these approaches have in common, we offer a unifying pipeline, which consists of three steps: linearization, learning, and decoding. We prove that classic shift–reduce parsing can be reduced to tetratagging—the state-of-the-art constituency tagger—under two assumptions: right-corner transformation in the linearization step and factored scoring in the learning step. We ask what is the most critical factor that makes parsing-as-tagging methods accurate while being efficient. To answer this question, we empirically evaluate a taxonomy of tagging pipelines with different choices of linearizers, learners, and decoders. Based on the results in English as well as a set of 8 typologically diverse languages, we conclude that the linearization of the derivation tree and its alignment with the input sequence is the most critical factor in achieving accurate parsers as taggers.",1,1,1,0,0,0,p,p,0,0,n,n,"deu,eus,fra,heb,hun,kor,pol,swe","deu,eng,eus,fra,heb,hun,kor,pol,swe","deu,eus,fra,heb,hun,kor,pol,swe","deu,eus,fra,heb,hun,kor,pol,swe"
